plot_kind,panel,stage,component_name,config_name,config_label,value,normalized_value,retained_percent_vs_hbm,value_unit,slowdown_vs_ga100,memory_bandwidth_gbps
throughput_pair,transformer_throughput,prefill,,GA100,HBM,41.14371412732683,1.0,100.0,tok/s,1.0,2048.0
throughput_pair,transformer_throughput,prefill,,A100-LPDDR5X,LPDDR5X,30.750789401887022,0.7473994522400923,74.73994522400923,tok/s,1.3379726155843676,819.2
throughput_pair,transformer_throughput,decode,,GA100,HBM,1.0782320490805182,1.0,100.0,tok/s,1.0,2048.0
throughput_pair,transformer_throughput,decode,,A100-LPDDR5X,LPDDR5X,0.76759988923706,0.7119060223554333,71.19060223554334,tok/s,1.4046797872159735,819.2
throughput_pair,gemm_throughput,matmul_attention_output,,GA100,HBM,60427.589384833176,1.0,100.0,matmul/s,1.0,2048.0
throughput_pair,gemm_throughput,matmul_attention_output,,A100-LPDDR5X,LPDDR5X,52900.0964648918,0.8754295348106222,87.54295348106223,matmul/s,1.1422963930687184,819.2
throughput_pair,gemm_throughput,matmul_ffn_3584x8192,,GA100,HBM,17461.25521646267,1.0,100.0,matmul/s,1.0,2048.0
throughput_pair,gemm_throughput,matmul_ffn_3584x8192,,A100-LPDDR5X,LPDDR5X,15136.787470921641,0.8668785424229128,86.68785424229128,matmul/s,1.1535641396832996,819.2
throughput_pair,gemm_throughput,matmul_ffn_8192x7168,,GA100,HBM,8733.25101390258,1.0,100.0,matmul/s,1.0,2048.0
throughput_pair,gemm_throughput,matmul_ffn_8192x7168,,A100-LPDDR5X,LPDDR5X,7357.080885408045,0.8424217824148429,84.24217824148428,matmul/s,1.1870538260934465,819.2
throughput_pair,gemm_throughput,matmul_qkv_projection,,GA100,HBM,48670.34655817006,1.0,100.0,matmul/s,1.0,2048.0
throughput_pair,gemm_throughput,matmul_qkv_projection,,A100-LPDDR5X,LPDDR5X,41996.355685929404,0.8628735699618657,86.28735699618657,matmul/s,1.1589183338228735,819.2
throughput_pair,gemm_throughput,matmul_standard_8192,,GA100,HBM,15341.004575061725,1.0,100.0,matmul/s,1.0,2048.0
throughput_pair,gemm_throughput,matmul_standard_8192,,A100-LPDDR5X,LPDDR5X,12889.061445909823,0.8401706278650245,84.01706278650245,matmul/s,1.1902344200500334,819.2
operator_throughput_pair,prefill,prefill,qkv,GA100,HBM,176.5818237373949,1.0,100.0,tok/s,1.0,2048.0
operator_throughput_pair,prefill,prefill,qkv,A100-LPDDR5X,LPDDR5X,151.20874785353234,0.8563098095441786,85.63098095441785,tok/s,1.1678016400773323,819.2
operator_slowdown,prefill,prefill,qkv,A100-LPDDR5X,LPDDR5X,1.1678016400773323,1.1678016400773323,85.63098095441788,ratio,1.1678016400773323,819.2
operator_throughput_pair,prefill,prefill,q_mul_k,GA100,HBM,35911.64554094605,1.0,100.0,tok/s,1.0,2048.0
operator_throughput_pair,prefill,prefill,q_mul_k,A100-LPDDR5X,LPDDR5X,15013.225259135508,0.4180600758608402,41.80600758608402,tok/s,2.392000714109975,819.2
