Component,GA100 throughput,A100-LPDDR5X throughput,LPDDR5X retained,GA100 throughput_fmt,A100-LPDDR5X throughput_fmt,LPDDR5X retained_fmt
h1_matmul1,3.747417338830197,3.359335409989399,89.64401629838372,3.7,3.4,89.6%
h2_matmul2,3.2702771703061604,1.7644397093944109,53.95382768822697,3.3,1.8,54.0%
qkv,5.002098330425456,4.4942481556762655,89.84725726681197,5.0,4.5,89.8%
h_matmul0,13.10294602108915,8.239939661157901,62.886160470292296,13.1,8.2,62.9%
q_mul_k,27.200617627816516,19.76868290540782,72.67733099262982,27.2,19.8,72.7%
a_mul_v,25.76496181825542,24.85332431917518,96.46171608748782,25.8,24.9,96.5%
softmax,inf,inf,,N/A (~0ms),N/A (~0ms),N/A
gelu,inf,inf,,N/A (~0ms),N/A (~0ms),N/A
layernorm0,inf,inf,,N/A (~0ms),N/A (~0ms),N/A
layernorm1,inf,inf,,N/A (~0ms),N/A (~0ms),N/A
