Name,OpName,FwOps,BwOps,AccOps,InputShapes,OutputShape
input_ids,misc,[],[],[],[],"(1, 1)"
transformer_wte,EMBEDDING,"[('MEM', ((1, 1), (1, 1, 12288)))]",[],[],"[(1, 1)]","(1, 1, 12288)"
transformer_wpe,EMBEDDING,"[('MEM', ((1, 1), (1, 1, 12288)))]",[],[],"[(1, 1)]","(1, 1, 12288)"
add_1,VECadd,"[('VECadd', (1, 12288))]",[],[],"[(1, 1, 12288), (1, 1, 12288)]","(1, 1, 12288)"
transformer_h_0_ln_1,VECln,"[('VECln', (1, 12288))]",[],[],"[(1, 1, 12288)]","(1, 1, 12288)"
addmm,Linear,"[('Linear', (1, 12288, 36864))]",[],[],"[(1, 1, 12288)]","(1, 1, 36864)"
matmul,BMM,"[('BMM', (96, 1, 128, 2048))]",[],[],"[(1, 96, 1, 128), (1, 96, 128, 2048)]","(1, 96, 1, 2048)"
truediv,VECdiv,"[('VECdiv', (96, 2048))]",[],[],"[(1, 96, 1, 2048), (1,)]","(1, 96, 1, 2048)"
softmax,VECsoftmax,"[('VECsoftmax', (96, 2048))]",[],[],"[(1, 96, 1, 2048)]","(1, 96, 1, 2048)"
matmul_1,BMM,"[('BMM', (96, 1, 2048, 128))]",[],[],"[(1, 96, 1, 2048), (1, 96, 2048, 128)]","(1, 96, 1, 128)"
addmm_1,Linear,"[('Linear', (1, 12288, 12288))]",[],[],"[(1, 1, 12288)]","(1, 1, 12288)"
add_8,VECadd,"[('VECadd', (1, 12288))]",[],[],"[(1, 1, 12288), (1, 1, 12288)]","(1, 1, 12288)"
transformer_h_0_ln_2,VECln,"[('VECln', (1, 12288))]",[],[],"[(1, 1, 12288)]","(1, 1, 12288)"
addmm_2,Linear,"[('Linear', (1, 12288, 49152))]",[],[],"[(1, 1, 12288)]","(1, 1, 49152)"
gelu,VECgelu,"[('VECgelu', (1, 49152))]",[],[],"[(1, 1, 49152)]","(1, 1, 49152)"
addmm_3,Linear,"[('Linear', (1, 49152, 12288))]",[],[],"[(1, 1, 49152)]","(1, 1, 12288)"
add_15,VECadd,"[('VECadd', (1, 12288))]",[],[],"[(1, 1, 12288), (1, 1, 12288)]","(1, 1, 12288)"
transformer_ln_f,VECln,"[('VECln', (1, 12288))]",[],[],"[(1, 1, 12288)]","(1, 1, 12288)"
lm_head,Linear,"[('Linear', (1, 12288, 50257))]",[],[],"[(1, 1, 12288)]","(1, 1, 50257)"
